species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Gentoo,Biscoe,51.21159379,10.78410063,198,6536,female
Chinstrap,Dream,49.57872275,30,190,3280,male
Gentoo,Biscoe,54.47381419,16.43515802,208,4077,female
Adelie,Biscoe,44.90799783,25.89413961,204,3665,female
Adelie,Dream,26.30420121,13.73611307,160,8000,male
Chinstrap,Dream,62.20011501,20.25314874,221,3514,male
Adelie,Biscoe,54.87070783,14.80069144,210,5418,male
Chinstrap,Dream,58.72710707,37,203,2952,male
Gentoo,Biscoe,48.5346294,15.3295064,224,3479,female
Gentoo,Biscoe,57.31129111,55,211,4975,female
Adelie,Biscoe,28.57688912,30,241,2000,male
Adelie,Biscoe,38.12037359,22.32406502,169,3869,male
Adelie,Torgersen,36.25017758,18.63741486,182,5308,male
Adelie,Dream,25,69,260,2000,male
Gentoo,Biscoe,59.27382686,15.26223323,241,5441,male
Gentoo,Biscoe,49.05009535,89,232,5076,female
Chinstrap,Dream,45.94436989,22.86893545,196,2710,female
Gentoo,Biscoe,54.42901108,16.45103075,215,4319,male
Gentoo,Biscoe,40.66627478,16.80707911,210,5499,female
Chinstrap,Dream,54.5551632,18.54661724,232,4337,female
Adelie,Dream,41.29091817,34,191,3528,male
Adelie,Biscoe,37.07113124,17.0111715,161,3331,male
Gentoo,Biscoe,41.79542664,16.43049865,198,4822,female
Adelie,Dream,34.57216163,16.7984952,209,3301,female
Adelie,Biscoe,29.56370796,10,191,2000,female
Gentoo,Biscoe,52.21537579,13.354283,219,6920,female
Gentoo,Biscoe,49.06096397,12.93652753,221,6046,male
Chinstrap,Dream,48.54090304,21.00205151,188,3902,female
Gentoo,Biscoe,46.04514295,19.78790405,211,4492,male
Gentoo,Biscoe,48.40702446,16.44304626,220,7339,female
Gentoo,Biscoe,51.32629337,16.3322793,195,4935,female
Adelie,Torgersen,37.35683538,12.14276713,205,3308,female
Adelie,Biscoe,37.44520962,19.46430148,168,2758,female
Adelie,Biscoe,36.56267044,45,176,3641,female
Gentoo,Biscoe,59.55389911,16.85675922,210,5936,male
Adelie,Biscoe,31.1386934,17.12812511,184,3179,female
Adelie,Torgersen,41.74237547,14.24080034,179,3282,male
Adelie,Torgersen,32.82387491,18.26589838,200,4271,female
Chinstrap,Dream,27.6905677,21.72998214,213,5727,male
Adelie,Dream,45.05330208,18.68426622,211,4960,male
Adelie,Dream,39.77851819,18.54851461,174,3408,male
Chinstrap,Dream,67.6938355,55,205,2000,male
Gentoo,Biscoe,45.12794346,16.91698528,189,5836,male
Chinstrap,Dream,55.5078579,16.46343847,186,5706,male
Gentoo,Biscoe,47.67455855,12.7503708,235,6973,female
Gentoo,Biscoe,38.10818762,17.57835007,234,5979,male
Adelie,Torgersen,37.79913133,37,166,4693,male
Gentoo,Biscoe,49.98958873,13.59106541,229,7056,female
Gentoo,Biscoe,41.46684187,15.81620616,238,4532,male
Chinstrap,Dream,50.95457999,16.07440737,190,3068,male
Adelie,Torgersen,39.45152601,21.59027854,202,2118,male
Gentoo,Biscoe,52.50880316,17.26613125,209,4029,male
Adelie,Dream,25.97234706,21.23235784,178,3390,female
Adelie,Dream,31.92986228,90,196,2000,female
Adelie,Biscoe,32.46610816,20.23866641,189,2145,female
Adelie,Torgersen,40.26905675,18.8716864,214,3239,female
Chinstrap,Dream,57.65291881,16.82143381,190,5401,female
Adelie,Dream,39.4519683,24.71226093,196,2874,male
Chinstrap,Dream,57.69511879,21.15315107,187,3180,male
Gentoo,Biscoe,43.04726173,16.24979331,186,4599,male
Gentoo,Biscoe,47.69644736,15.67589259,198,5722,male
